company,work_life,salary,job_security,management,culture,ceo,ceo_details,num_reviews,pay_details,num_employees,revinew,got_indeed_review
Alcohol and Gaming Commission of Ontario,,,,,,,,0,,,,0
Carleton University,4.3,3.7,3.8,4.1,4.3,89%,CEO Approval is based on 82 ratings,256,"The average Carleton University salary ranges from approximately $42,259 per year for Post-doctoral Fellow to $173,667 per year for Dean. Average Carleton University hourly pay ranges from approximately $15.53 per hour for Supervisor to $22.65 per hour for Teaching Assistant.",0,0.0,1
City of Mississauga,4.4,4.1,4.1,4.3,4.4,92%,CEO Approval is based on 48 ratings,146,"Average City of Mississauga hourly pay ranges from approximately $13.35 per hour for Usher to $52.97 per hour for Administrator. The average City of Mississauga salary ranges from approximately $53,647 per year for Management Assistant to $124,273 per year for Administrator.","1,001 to 5,000",0.0,1
City of Toronto,4.2,4.0,3.7,3.7,3.9,82%,CEO Approval is based on 207 ratings,544,"The average City of Toronto salary ranges from approximately $70,000 per year for Urban Planner to $159,139 per year for Director of People & Culture. Average City of Toronto hourly pay ranges from approximately $23.21 per hour for Childcare Provider to $51.62 per hour for Senior Risk Analyst.",0,0.0,1
City of Toronto - Police Service,,,,,,,,0,,,,0
Englehart and District Hospital,,,,,,,,0,,,,0
Glengarry Nurse Pracititioner Led Clinic,,,,,,,,0,,,,0
Greater Essex County District School Board,4.0,3.8,3.8,4.2,4.4,,,15,,0,0.0,1
Lakehead University,4.0,3.3,3.6,3.8,3.9,83%,CEO Approval is based on 18 ratings,48,Lakehead University salaries vary between titles and locations. Our data is collected directly from employees and jobs on Indeed.,0,0.0,1
March of Dimes Canada,,,,,,,,0,,,,0
McMaster University,4.1,3.6,3.5,4.0,4.1,87%,CEO Approval is based on 79 ratings,317,"Average McMaster University hourly pay ranges from approximately $20.55 per hour for Management Assistant to $40.69 per hour for Counselor. The average McMaster University salary ranges from approximately $44,725 per year for Web Administrator to $129,691 per year for Director.",0,0.0,1
Ministry of Government and Consumer Services,4.3,4.1,3.9,3.9,4.0,,,19,"Average Ministry of Government and Consumer Services hourly pay ranges from approximately $22.45 per hour for Mail Processor to $26.80 per hour for Benefit Specialist. The average Ministry of Government and Consumer Services salary ranges from approximately $71,551 per year for Benefits Advisor to $126,717 per year for Risk Manager.",0,0.0,1
Ministry of Infrastructure,,,,,,,,0,,,,0
Niagara Health,,,,,,,,0,,,,0
Ontario Power Generation,,,,,,,,0,,,,0
Peel District School Board,4.3,4.0,4.0,4.0,4.2,89%,CEO Approval is based on 64 ratings,132,"The average Peel District School Board salary ranges from approximately $47,960 per year for Facilitator to $142,020 per year for Director of Human Resources. Average Peel District School Board hourly pay ranges from approximately $31.57 per hour for Instructor to $32.00 per hour for Administrative Assistant.",0,0.0,1
Queen's University,,,,,,,,0,,,,0
Ryerson University,,,,,,,,0,,,,0
Scarborough Health Network,3.9,3.8,3.9,3.8,3.9,77%,CEO Approval is based on 22 ratings,66,Scarborough Health Network salaries vary between titles and locations. Our data is collected directly from employees and jobs on Indeed.,0,0.0,1
Sinai Health System,3.5,3.3,3.3,3.2,3.4,76%,CEO Approval is based on 134 ratings,248,,0,0.0,1
Southlake Regional Health Centre,3.5,4.0,3.4,3.4,3.5,75%,CEO Approval is based on 20 ratings,48,Southlake Regional Health Centre salaries vary between titles and locations. Our data is collected directly from employees and jobs on Indeed.,0,0.0,1
The Hospital for Sick Children,4.0,3.6,3.5,3.8,3.9,91%,CEO Approval is based on 82 ratings,229,"The average The Hospital for Sick Children salary ranges from approximately $45,032 per year for Cook to $435,027 per year for Surgeon. Average The Hospital for Sick Children hourly pay ranges from approximately $23.57 per hour for Administrative Assistant to $35.17 per hour for Prosthetist.",0,0.0,1
Toronto District School Board,4.2,4.1,3.9,3.9,4.1,88%,CEO Approval is based on 90 ratings,223,"Average Toronto District School Board hourly pay ranges from approximately $12.10 per hour for Camp Counselor to $35.00 per hour for Teacher. The average Toronto District School Board salary ranges from approximately $78,004 per year for Accounts Payable Clerk to $97,062 per year for Architectural Project Manager.","10,000+",0.0,1
University Health Network,4.0,3.8,3.7,3.8,3.9,88%,CEO Approval is based on 56 ratings,148,"The average University Health Network salary ranges from approximately $51,847 per year for Post-doctoral Fellow to $295,918 per year for Director of Rehabilitation. Average University Health Network hourly pay ranges from approximately $24.65 per hour for Pharmacy Technician to $38.50 per hour for Infirmier (H/F).","10,000+",0.0,1
University of Toronto,4.3,3.8,3.8,4.1,4.3,86%,CEO Approval is based on 214 ratings,691,"The average University of Toronto salary ranges from approximately $30,000 per year for Instructor to $194,029 per year for Dean. Average University of Toronto hourly pay ranges from approximately $13.35 per hour for Developmental Service Worker to $37.24 per hour for Teaching Assistant.",0,0.0,1
University of Waterloo,4.3,3.9,4.1,4.2,4.3,89%,CEO Approval is based on 82 ratings,335,"The average University of Waterloo salary ranges from approximately $42,571 per year for Department Assistant to $122,573 per year for Ã‰lectricien (H/F). Average University of Waterloo hourly pay ranges from approximately $15.00 per hour for Chef to $32.99 per hour for Plumber.","5,001 to 10,000",0.0,1
Workplace Safety and Insurance Board,4.1,4.3,3.7,3.6,3.6,82%,CEO Approval is based on 49 ratings,104,"The average Workplace Safety and Insurance Board salary ranges from approximately $27,973 per year for Customer Service Representative to $85,629 per year for Senior Network Engineer.",0,0.0,1
York University,4.3,3.8,3.7,3.9,4.1,84%,CEO Approval is based on 146 ratings,464,"The average York University salary ranges from approximately $47,434 per year for Restaurant Manager to $112,447 per year for Wellness Director. Average York University hourly pay ranges from approximately $12.00 per hour for Student Representative to $50.00 per hour for Yoga Instructor.",0,0.0,1
